ResearcherID,Authors,Year,DOI,Journal,LakeName,LakeTrophicState,Fsed_oxy_value,Fsed_oxy_units,Ksed_oxy_value,Ksed_oxy_units,Theta_sed_oxy,Notes
CCC,Farrell et al.,2020,https://doi.org/10.1016/j.ecolmodel.2020.109134,Ecological Modelling,Mendota,Eutrophic,-20,mmol/m2/d,6.8,mmol/m3,1.07,parameters in SI
CCC,Farrell et al.,2020,https://doi.org/10.1016/j.ecolmodel.2020.109134,Ecological Modelling,Sunapee,Oligotrophic,-7,mmol/m2/d,6.8,mmol/m3,1.07,parameters in SI
CCC,Ladwig et al. ,2021,https://hess.copernicus.org/articles/25/1009/2021/hess-25-1009-2021.html,HESS,Mendota,Eutrophic,-100,mmol/m2/d,15,mmol/m3,1.08,parameters in EDI (https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.396.1)
CCC,Snortheim et al. ,2017,http://dx.doi.org/10.1016/j.ecolmodel.2016.10.014,Ecological Modelling,Mendota,Eutrophic,-12.55,mmol/m2/d,51.57,mmol/m3,1.065,parameters in Table A2
CCC,Ward et al.,2020,https://doi.org/10.1029/2020WR027296,WRR,Sunapee,Oligotrophic,-0.005,mmol/m2/d,6.8,mmol/m3,1.07,parameters in EDI (https://portal.edirepository.org/nis/mapbrowse?packageid=edi.467.4)
CCC,Hart et al. ,2017,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.348.2,NA,Mendota,Eutrophic,-100,mmol/m2/d,6.8,mmol/m3,1.07,parameters in EDI (https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.348.2)
CCC,Carey et al.,2022,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.16228,Global Change Biology,Falling Creek Reservoir,Eutrophic,-29.54832206,mmol/m2/d,25,mmol/m3,1.08,parameters in EDI (https://portal.edirepository.org/nis/mapbrowse?packageid=edi.1127.1)
CCC,Olinde et al.,2007,https://vtechworks.lib.vt.edu/bitstream/handle/10919/42437/LindsayOlindeApril2007CEEThesis_GradSchool_2.pdf?sequence=1,NA,Carvins Cove Reservoir site A,Eutrophic,-422,mg/L/d,19,mg/L,NA,see Table 4
CCC,Olinde et al.,2007,https://vtechworks.lib.vt.edu/bitstream/handle/10919/42437/LindsayOlindeApril2007CEEThesis_GradSchool_2.pdf?sequence=1,NA,Carvins Cove Reservoir site B,Eutrophic,-4985,mg/L/d,47,mg/L,NA,see Table 4
CCC,Olinde et al.,2007,https://vtechworks.lib.vt.edu/bitstream/handle/10919/42437/LindsayOlindeApril2007CEEThesis_GradSchool_2.pdf?sequence=1,NA,Carvins Cove Reservoir site C,Eutrophic,-522,mg/L/d,5,mg/L,NA,see Table 4
CCC,Matisoff & Neeson,2005,https://www.researchgate.net/publication/240446433_Oxygen_Concentration_and_Demand_in_Lake_Erie_Sediments,JGLR,Erie Central Basin June 2002,Eutrophic,3.40E-08,mol/L/s,NA,NA,NA,Results page 292'
CCC,Matisoff & Neeson,2005,https://www.researchgate.net/publication/240446433_Oxygen_Concentration_and_Demand_in_Lake_Erie_Sediments,JGLR,Erie East Basin June 2002,Eutrophic,2.20E-08,mol/L/s,NA,NA,NA,Results page 292'
CCC,Matisoff & Neeson,2005,https://www.researchgate.net/publication/240446433_Oxygen_Concentration_and_Demand_in_Lake_Erie_Sediments,JGLR,Erie Central Basin July 2002,Eutrophic,1.10E-08,mol/L/s,NA,NA,NA,Results page 292'
CCC,Matisoff & Neeson,2005,https://www.researchgate.net/publication/240446433_Oxygen_Concentration_and_Demand_in_Lake_Erie_Sediments,JGLR,Erie East Basin July 2002,Eutrophic,7.50E-09,mol/L/s,NA,NA,NA,Results page 292'
